Number of Dice,average of d4,savage of d4,% increase of d4,average of d6,savage of d6,% increase of d6,average of d8,savage of d8,% increase of d8,average of d10,savage of d10,% increase of d10,average of d12,savage of d12,% increase of d12
1,2.5,3.12,24.8,3.5,4.47,27.7,4.5,5.81,29.1,5.5,7.15,30.0,6.5,8.48,30.5
2,5.0,5.89,17.8,7.0,8.37,19.6,9.0,10.84,20.4,11.0,13.32,21.1,13.0,15.79,21.5
3,7.5,8.59,14.5,10.5,12.18,16.0,13.5,15.75,16.7,16.5,19.33,17.2,19.5,22.91,17.5
4,10.0,11.26,12.6,14.0,15.93,13.8,18.0,20.6,14.4,22.0,25.27,14.9,26.0,29.92,15.1
5,12.5,13.91,11.3,17.5,19.66,12.3,22.5,25.4,12.9,27.5,31.14,13.2,32.5,36.88,13.5
6,15.0,16.54,10.3,21.0,23.36,11.2,27.0,30.18,11.8,33.0,36.98,12.1,39.0,43.8,12.3
7,17.5,19.17,9.5,24.5,27.06,10.4,31.5,34.93,10.9,38.5,42.81,11.2,45.5,50.67,11.4
8,20.0,21.78,8.9,28.0,30.73,9.7,36.0,39.67,10.2,44.0,48.6,10.5,52.0,57.54,10.7
9,22.5,24.39,8.4,31.5,34.39,9.2,40.5,44.39,9.6,49.5,54.38,9.9,58.5,64.35,10.0
10,25.0,26.99,8.0,35.0,38.05,8.7,45.0,49.1,9.1,55.0,60.12,9.3,65.0,71.19,9.5
11,27.5,29.59,7.6,38.5,41.7,8.3,49.5,53.8,8.7,60.5,65.9,8.9,71.5,77.98,9.1
12,30.0,32.18,7.3,42.0,45.33,7.9,54.0,58.49,8.3,66.0,71.62,8.5,78.0,84.75,8.7
13,32.5,34.76,7.0,45.5,48.98,7.6,58.5,63.17,8.0,71.5,77.36,8.2,84.5,91.54,8.3
14,35.0,37.36,6.7,49.0,52.62,7.4,63.0,67.84,7.7,77.0,83.08,7.9,91.0,98.3,8.0
15,37.5,39.95,6.5,52.5,56.23,7.1,67.5,72.52,7.4,82.5,88.79,7.6,97.5,105.06,7.8
16,40.0,42.52,6.3,56.0,59.85,6.9,72.0,77.18,7.2,88.0,94.49,7.4,104.0,111.81,7.5
17,42.5,45.1,6.1,59.5,63.48,6.7,76.5,81.84,7.0,93.5,100.2,7.2,110.5,118.55,7.3
18,45.0,47.68,6.0,63.0,67.08,6.5,81.0,86.49,6.8,99.0,105.89,7.0,117.0,125.28,7.1
19,47.5,50.25,5.8,66.5,70.69,6.3,85.5,91.15,6.6,104.5,111.58,6.8,123.5,132.02,6.9
20,50.0,52.82,5.6,70.0,74.32,6.2,90.0,95.8,6.4,110.0,117.25,6.6,130.0,138.71,6.7
21,52.5,55.39,5.5,73.5,77.91,6.0,94.5,100.43,6.3,115.5,122.94,6.4,136.5,145.44,6.5
22,55.0,57.96,5.4,77.0,81.52,5.9,99.0,105.06,6.1,121.0,128.64,6.3,143.0,152.14,6.4
23,57.5,60.52,5.3,80.5,85.13,5.8,103.5,109.71,6.0,126.5,134.27,6.1,149.5,158.84,6.2
24,60.0,63.09,5.2,84.0,88.72,5.6,108.0,114.34,5.9,132.0,139.93,6.0,156.0,165.52,6.1
25,62.5,65.66,5.1,87.5,92.32,5.5,112.5,118.95,5.7,137.5,145.62,5.9,162.5,172.24,6.0
26,65.0,68.22,5.0,91.0,95.92,5.4,117.0,123.6,5.6,143.0,151.28,5.8,169.0,178.92,5.9
27,67.5,70.77,4.8,94.5,99.51,5.3,121.5,128.22,5.5,148.5,156.92,5.7,175.5,185.66,5.8
28,70.0,73.33,4.8,98.0,103.1,5.2,126.0,132.83,5.4,154.0,162.58,5.6,182.0,192.32,5.7
29,72.5,75.9,4.7,101.5,106.69,5.1,130.5,137.47,5.3,159.5,168.22,5.5,188.5,198.98,5.6
30,75.0,78.46,4.6,105.0,110.29,5.0,135.0,142.07,5.2,165.0,173.89,5.4,195.0,205.67,5.5
