Number of Dice,average of d4,savage of d4,damage increase of d4% increase of d4,average of d6,savage of d6,damage increase of d6% increase of d6,average of d8,savage of d8,damage increase of d8% increase of d8,average of d10,savage of d10,damage increase of d10% increase of d10,average of d12,savage of d12,damage increase of d12% increase of d12
1,2.5,3.12,0.62,24.8%,3.5,4.47,0.97,27.7%,4.5,5.81,1.31,29.1%,5.5,7.14,1.64,29.8%,6.5,8.49,1.99,30.6%
2,5.0,5.89,0.89,17.8%,7.0,8.37,1.37,19.6%,9.0,10.85,1.85,20.6%,11.0,13.34,2.34,21.3%,13.0,15.78,2.78,21.4%
3,7.5,8.59,1.09,14.5%,10.5,12.17,1.67,15.9%,13.5,15.74,2.24,16.6%,16.5,19.32,2.82,17.1%,19.5,22.92,3.42,17.5%
4,10.0,11.25,1.25,12.5%,14.0,15.94,1.94,13.9%,18.0,20.6,2.6,14.4%,22.0,25.25,3.25,14.8%,26.0,29.93,3.93,15.1%
5,12.5,13.92,1.42,11.4%,17.5,19.65,2.15,12.3%,22.5,25.38,2.88,12.8%,27.5,31.15,3.65,13.3%,32.5,36.87,4.37,13.4%
6,15.0,16.53,1.53,10.2%,21.0,23.38,2.38,11.3%,27.0,30.15,3.15,11.7%,33.0,37.0,4.0,12.1%,39.0,43.81,4.81,12.3%
7,17.5,19.17,1.67,9.5%,24.5,27.05,2.55,10.4%,31.5,34.92,3.42,10.9%,38.5,42.81,4.31,11.2%,45.5,50.65,5.15,11.3%
8,20.0,21.78,1.78,8.9%,28.0,30.73,2.73,9.7%,36.0,39.7,3.7,10.3%,44.0,48.66,4.66,10.6%,52.0,57.55,5.55,10.7%
9,22.5,24.4,1.9,8.4%,31.5,34.41,2.91,9.2%,40.5,44.37,3.87,9.6%,49.5,54.37,4.87,9.8%,58.5,64.38,5.88,10.1%
10,25.0,27.01,2.01,8.0%,35.0,38.05,3.05,8.7%,45.0,49.12,4.12,9.2%,55.0,60.11,5.11,9.3%,65.0,71.19,6.19,9.5%
11,27.5,29.61,2.11,7.7%,38.5,41.71,3.21,8.3%,49.5,53.74,4.24,8.6%,60.5,65.91,5.41,8.9%,71.5,77.98,6.48,9.1%
12,30.0,32.19,2.19,7.3%,42.0,45.34,3.34,8.0%,54.0,58.51,4.51,8.4%,66.0,71.64,5.64,8.5%,78.0,84.77,6.77,8.7%
13,32.5,34.74,2.24,6.9%,45.5,48.96,3.46,7.6%,58.5,63.18,4.68,8.0%,71.5,77.35,5.85,8.2%,84.5,91.5,7.0,8.3%
14,35.0,37.34,2.34,6.7%,49.0,52.61,3.61,7.4%,63.0,67.8,4.8,7.6%,77.0,83.01,6.01,7.8%,91.0,98.32,7.32,8.0%
15,37.5,39.94,2.44,6.5%,52.5,56.26,3.76,7.2%,67.5,72.52,5.02,7.4%,82.5,88.8,6.3,7.6%,97.5,105.12,7.62,7.8%
16,40.0,42.53,2.53,6.3%,56.0,59.85,3.85,6.9%,72.0,77.2,5.2,7.2%,88.0,94.49,6.49,7.4%,104.0,111.83,7.83,7.5%
17,42.5,45.11,2.61,6.1%,59.5,63.48,3.98,6.7%,76.5,81.86,5.36,7.0%,93.5,100.13,6.63,7.1%,110.5,118.51,8.01,7.2%
18,45.0,47.7,2.7,6.0%,63.0,67.1,4.1,6.5%,81.0,86.47,5.47,6.8%,99.0,105.89,6.89,7.0%,117.0,125.34,8.34,7.1%
19,47.5,50.26,2.76,5.8%,66.5,70.73,4.23,6.4%,85.5,91.11,5.61,6.6%,104.5,111.6,7.1,6.8%,123.5,132.03,8.53,6.9%
20,50.0,52.81,2.81,5.6%,70.0,74.33,4.33,6.2%,90.0,95.81,5.81,6.5%,110.0,117.22,7.22,6.6%,130.0,138.75,8.75,6.7%
21,52.5,55.4,2.9,5.5%,73.5,77.9,4.4,6.0%,94.5,100.48,5.98,6.3%,115.5,122.96,7.46,6.5%,136.5,145.44,8.94,6.5%
22,55.0,57.94,2.94,5.3%,77.0,81.52,4.52,5.9%,99.0,105.03,6.03,6.1%,121.0,128.66,7.66,6.3%,143.0,152.11,9.11,6.4%
23,57.5,60.51,3.01,5.2%,80.5,85.13,4.63,5.8%,103.5,109.75,6.25,6.0%,126.5,134.28,7.78,6.2%,149.5,158.82,9.32,6.2%
24,60.0,63.13,3.13,5.2%,84.0,88.73,4.73,5.6%,108.0,114.31,6.31,5.8%,132.0,139.93,7.93,6.0%,156.0,165.57,9.57,6.1%
25,62.5,65.65,3.15,5.0%,87.5,92.31,4.81,5.5%,112.5,118.97,6.47,5.8%,137.5,145.6,8.1,5.9%,162.5,172.26,9.76,6.0%
26,65.0,68.2,3.2,4.9%,91.0,95.89,4.89,5.4%,117.0,123.6,6.6,5.6%,143.0,151.27,8.27,5.8%,169.0,178.96,9.96,5.9%
27,67.5,70.77,3.27,4.8%,94.5,99.48,4.98,5.3%,121.5,128.18,6.68,5.5%,148.5,156.96,8.46,5.7%,175.5,185.63,10.13,5.8%
28,70.0,73.33,3.33,4.8%,98.0,103.09,5.09,5.2%,126.0,132.8,6.8,5.4%,154.0,162.57,8.57,5.6%,182.0,192.38,10.38,5.7%
29,72.5,75.9,3.4,4.7%,101.5,106.67,5.17,5.1%,130.5,137.48,6.98,5.3%,159.5,168.25,8.75,5.5%,188.5,198.92,10.42,5.5%
30,75.0,78.45,3.45,4.6%,105.0,110.28,5.28,5.0%,135.0,142.14,7.14,5.3%,165.0,173.91,8.91,5.4%,195.0,205.68,10.68,5.5%
